index,run,trial,onset,duration,town,pic,itemNum,resp,respRT,itemType,acc
87,3,5,60.9335,17.5505,Town1,env1,3,?,2.591,fruitveg,0
88,3,6,78.5272,16.8515,Town3,env3,1,emma,12.1298,face,1
89,3,6,78.5272,16.8515,Town3,env3,2,screwdriver,4.081,tool,1
90,3,6,78.5272,16.8515,Town3,env3,3,?,0.6389,animal,0
91,3,7,95.4207,16.9268,Town10,env10,1,katy,15.8709,face,1
92,3,7,95.4207,16.9268,Town10,env10,2,?,0.6864,animal,0
93,3,7,95.4207,16.9268,Town10,env10,3,?,0.3677,fruitveg,0
94,3,8,112.39,7.3578,Town2,env2,1,?,0.3982,tool,0
95,3,8,112.39,7.3578,Town2,env2,2,mark,3.2226,face,1
96,3,8,112.39,7.3578,Town2,env2,3,cucumber,3.7353,fruitveg,1
97,3,9,119.7904,15.8862,Town8,env8,1,puppy,11.3172,animal,1
98,3,9,119.7904,15.8862,Town8,env8,2,beyonce,2.1745,face,1
99,3,9,119.7904,15.8862,Town8,env8,3,oranges,2.3928,fruitveg,1
100,3,10,135.7206,5.9027,Town5,env5,1,?,5.0627,face,0
101,3,10,135.7206,5.9027,Town5,env5,2,?,0.4064,animal,0
102,3,10,135.7206,5.9027,Town5,env5,3,?,0.432,fruitveg,0
103,3,11,141.6659,14.5526,Town7,env7,1,sheldon,6.0769,face,1
104,3,11,141.6659,14.5526,Town7,env7,2,giraffe,6.3139,animal,1
105,3,11,141.6659,14.5526,Town7,env7,3,drill,2.1601,tool,1
106,3,12,156.2607,4.4785,Town11,env11,1,?,3.6054,tool,0
107,3,12,156.2607,4.4785,Town11,env11,2,?,0.4311,face,0
108,3,12,156.2607,4.4785,Town11,env11,3,?,0.4402,fruitveg,0
109,4,1,1.0014,27.3767,Town2,env2,1,mark,18.8946,face,1
110,4,1,1.0014,27.3767,Town2,env2,2,cucumber,4.4551,fruitveg,1
111,4,1,1.0014,27.3767,Town2,env2,3,scissos,4.0231,tool,1
112,4,2,28.4247,16.6529,Town1,env1,1,george,6.3293,face,1
113,4,2,28.4247,16.6529,Town1,env1,2,giraffe,3.9432,animal,0
114,4,2,28.4247,16.6529,Town1,env1,3,lettuce,6.3786,fruitveg,1
115,4,3,45.1223,10.7235,Town8,env8,1,beyonce,5.2184,face,1
116,4,3,45.1223,10.7235,Town8,env8,2,puppy,2.5917,animal,1
117,4,3,45.1223,10.7235,Town8,env8,3,oranges,2.9117,fruitveg,1
118,4,4,55.8906,36.0044,Town11,env11,1,johnny depp,30.7469,face,1
119,4,4,55.8906,36.0044,Town11,env11,2,carrot,3.7841,fruitveg,1
120,4,4,55.8906,36.0044,Town11,env11,3,hammer,1.4716,tool,1
121,4,5,91.9409,15.4568,Town9,env9,1,paul,4.2404,face,1
122,4,5,91.9409,15.4568,Town9,env9,2,banana,4.3273,fruitveg,1
123,4,5,91.9409,15.4568,Town9,env9,3,wrench,6.8874,tool,1
124,4,6,107.4461,14.8406,Town10,env10,1,katy,2.9592,face,1
125,4,6,107.4461,14.8406,Town10,env10,2,pigeon,7.0283,animal,1
126,4,6,107.4461,14.8406,Town10,env10,3,?,4.8515,fruitveg,0
127,4,7,122.3327,24.9833,Town6,env6,1,natalie,14.636,face,0
128,4,7,122.3327,24.9833,Town6,env6,2,alligator,2.6958,animal,0
129,4,7,122.3327,24.9833,Town6,env6,3,?,7.6498,tool,0
130,4,8,147.3625,7.0178,Town12,env12,1,stapler,4.7861,tool,1
131,4,8,147.3625,7.0178,Town12,env12,2,zoey,0.9267,face,1
132,4,8,147.3625,7.0178,Town12,env12,3,apple,1.3033,fruitveg,1
133,4,9,154.4274,17.3754,Town4,env4,1,?,14.7828,tool,0
134,4,9,154.4274,17.3754,Town4,env4,2,?,0.4156,animal,0
135,4,9,154.4274,17.3754,Town4,env4,3,?,2.1754,face,0
136,4,10,171.85,6.7481,Town5,env5,1,?,5.7,face,0
137,4,10,171.85,6.7481,Town5,env5,2,?,0.5589,animal,0
138,4,10,171.85,6.7481,Town5,env5,3,?,0.4875,fruitveg,0
139,4,11,178.643,10.899,Town7,env7,1,sheldon,3.3461,face,1
140,4,11,178.643,10.899,Town7,env7,2,giraffe,4.9684,animal,1
141,4,11,178.643,10.899,Town7,env7,3,drill,2.5829,tool,1
142,4,12,189.587,9.5007,Town3,env3,1,emma,2.9066,face,1
143,4,12,189.587,9.5007,Town3,env3,2,bear,3.5605,animal,1
144,4,12,189.587,9.5007,Town3,env3,3,screwdriver,3.0318,tool,1
145,5,1,1.0026,19.401,Town2,env2,1,mark,11.6793,face,1
