index,run,trial,onset,duration,town,pic,itemNum,resp,respRT,itemType,acc
1,1,1,1.0023,56.215,Town10,env10,1,Beyonce,52.2609,face,0
2,1,1,1.0023,56.215,Town10,env10,2,Dog,2.0863,animal,0
3,1,1,1.0023,56.215,Town10,env10,3,Lemon,1.8639,fruitveg,0
4,1,2,57.2665,59.0978,Town11,env11,1,Johnny Depp,36.8685,face,1
5,1,2,57.2665,59.0978,Town11,env11,2,Carrot,16.3961,fruitveg,1
6,1,2,57.2665,59.0978,Town11,env11,3,Hammer,5.8315,tool,1
7,1,3,116.4135,99.1864,Town4,env4,1,Wrench,74.7538,tool,0
8,1,3,116.4135,99.1864,Town4,env4,2,Alligator,9.5027,animal,1
9,1,3,116.4135,99.1864,Town4,env4,3,?,14.928,face,0
10,1,4,215.6488,48.677,Town5,env5,1,?,47.4358,face,0
11,1,4,215.6488,48.677,Town5,env5,2,?,0.6958,animal,0
12,1,4,215.6488,48.677,Town5,env5,3,?,0.5435,fruitveg,0
13,1,5,264.3754,58.2299,Town3,env3,1,stapler,17.1625,face,0
14,1,5,264.3754,58.2299,Town3,env3,2,apple,1.2785,animal,0
15,1,5,264.3754,58.2299,Town3,env3,3,zooey,39.7868,tool,0
16,1,6,322.655,12.4406,Town2,env2,1,?,11.3666,face,0
17,1,6,322.655,12.4406,Town2,env2,2,?,0.5527,fruitveg,0
18,1,6,322.655,12.4406,Town2,env2,3,?,0.5194,tool,0
19,1,7,335.1442,40.3739,Town7,env7,1,taylor swift,24.3124,face,0
20,1,7,335.1442,40.3739,Town7,env7,2,giraffe,3.383,animal,1
21,1,7,335.1442,40.3739,Town7,env7,3,?,12.6766,tool,0
22,1,8,375.5676,46.6565,Town6,env6,1,?,45.457,face,0
23,1,8,375.5676,46.6565,Town6,env6,2,?,0.6309,animal,0
24,1,8,375.5676,46.6565,Town6,env6,3,?,0.5668,tool,0
25,1,9,422.2737,43.8777,Town1,env1,1,?,42.7395,face,0
26,1,9,422.2737,43.8777,Town1,env1,2,?,0.6003,animal,0
27,1,9,422.2737,43.8777,Town1,env1,3,?,0.536,fruitveg,0
28,1,10,466.2009,68.4339,Town9,env9,1,kat perry,49.2193,fruitveg,0
29,1,10,466.2009,68.4339,Town9,env9,2,duck/goose,7.0473,face,0
30,1,10,466.2009,68.4339,Town9,env9,3,wrench,12.1655,tool,1
31,1,11,534.684,37.3533,Town12,env12,1,?,36.162,face,0
32,1,11,534.684,37.3533,Town12,env12,2,?,0.6634,fruitveg,0
33,1,11,534.684,37.3533,Town12,env12,3,?,0.526,tool,0
34,1,12,572.0868,77.2726,Town8,env8,1,benedict,33.124,face,0
35,1,12,572.0868,77.2726,Town8,env8,2,?,43.699,fruitveg,0
36,1,12,572.0868,77.2726,Town8,env8,3,?,0.4478,animal,0
37,2,1,1.002,21.3581,Town4,env4,1,alligator,9.1605,animal,1
38,2,1,1.002,21.3581,Town4,env4,2,saw,8.2672,tool,1
39,2,1,1.002,21.3581,Town4,env4,3,natalie,3.9264,face,1
40,2,2,22.4006,5.5206,Town8,env8,1,beyonce,2.7585,face,1
41,2,2,22.4006,5.5206,Town8,env8,2,lemon,2,fruitveg,1
42,2,2,22.4006,5.5206,Town8,env8,3,dog,0.7604,animal,1
43,2,3,27.9619,11.6294,Town1,env1,1,cabbage,2.7731,fruitveg,1
44,2,3,27.9619,11.6294,Town1,env1,2,zebra,4.9825,animal,1
